company,symbol,weight,price,%_change
Digital Realty Trust Inc.,DLR,0.107493,128.85,-0.25%
T. Rowe Price Group,TROW,0.107126,113.03,-0.89%
TransDigm Group Incorporated,TDG,0.106637,518.19,(-2.35%)
FirstEnergy Corp.,FE,0.1065,48.43,(-0.62%)
Paychex Inc.,PAYX,0.106331,81.52,(-1.27%)
KLA Corporation,KLAC,0.105816,158.48,(-2.14%)
Verisk Analytics Inc,VRSK,0.105109,155.59,(-2.32%)
Discover Financial Services,DFS,0.10478,81.51,-0.20%
McKesson Corporation,MCK,0.10415,135.2,(-2.85%)
Tyson Foods Inc. Class A,TSN,0.103098,85.2,(-1.46%)
Willis Towers Watson Public Limited Company,WLTW,0.102848,189.85,(-3.81%)
Cummins Inc.,CMI,0.102154,161.3,-0.84%
FleetCor Technologies Inc.,FLT,0.101803,288,(-1.61%)
Ball Corporation,BLL,0.10079,72.79,(-2.26%)
T-Mobile US Inc.,TMUS,0.100685,77.56,(-1.82%)
Xilinx Inc.,XLNX,0.099548,95.97,(-1.31%)
DTE Energy Company,DTE,0.098575,132.49,(-0.71%)
Realty Income Corporation,O,0.098432,77.13,(-0.19%)
Agilent Technologies Inc.,A,0.095845,76.39,(-0.17%)
PACCAR Inc,PCAR,0.095731,69.01,-0.36%
IDEXX Laboratories Inc.,IDXX,0.095379,272.48,(-0.94%)
Entergy Corporation,ETR,0.09459,117.5,(-0.04%)
Parker-Hannifin Corporation,PH,0.093435,180.65,-0.29%
Hershey Company,HSY,0.093007,153.78,(-0.32%)
PPL Corporation,PPL,0.092564,31.6,(-0.35%)
Archer-Daniels-Midland Company,ADM,0.092195,40.93,-0.17%
Cintas Corporation,CTAS,0.091634,266.13,(-0.71%)
Aptiv PLC,APTV,0.091445,86.88,(-0.95%)
LyondellBasell Industries NV,LYB,0.091421,88.7,-1.37%
Monster Beverage Corporation,MNST,0.091381,57.81,-0.07%
American Water Works Company Inc.,AWK,0.09113,124.24,(-0.71%)
Regeneron Pharmaceuticals Inc.,REGN,0.090978,275,(-2.24%)
Cerner Corporation,CERN,0.089448,68.37,-0.01%
Corning Inc,GLW,0.089349,28.38,-0.53%
Alexion Pharmaceuticals Inc.,ALXN,0.089239,98,(-0.71%)
State Street Corporation,STT,0.089112,59.8,-1.27%
Hartford Financial Services Group Inc.,HIG,0.088339,60.45,(-0.26%)
Microchip Technology Incorporated,MCHP,0.088095,91.33,(-1.13%)
Essex Property Trust Inc.,ESS,0.087389,326.35,(-0.58%)
Stanley Black & Decker Inc.,SWK,0.087086,143.09,-0.38%
